[ age, 1.094675669146e-06 ]
[ alone, 6.88361137e-10 ]
[ am, 3.4952403987573e-06 ]
[ an, 7.388151408168e-07 ]
[ are, 3.009479172494e-07 ]
[ art, 5.3581287740025e-06 ]
[ at, 1.77546232572602e-05 ]
[ beauty, 3.01044594975753e-05 ]
[ before, 1.237949420178e-07 ]
[ best, 5.613195674414e-07 ]
[ better, 5.2867591238e-08 ]
[ both, 3.5736441323e-08 ]
[ bright, 9.541875691576e-07 ]
[ can, 6.92305154883e-08 ]
[ come, 1.205556313211e-07 ]
[ day, 2.136066436314e-07 ]
[ dead, 6.44394446212e-08 ]
[ death, 3.3807652226602e-06 ]
[ did, 3.122029508901e-06 ]
[ die, 5.1493771851e-09 ]
[ do, 6.7573116020161e-06 ]
[ doth, 8.8383175791591e-06 ]
[ each, 1.205556313211e-07 ]
[ earth, 7.71556040455e-08 ]
[ every, 3.0704659900306e-06 ]
[ eyes, 1.46701061281061e-05 ]
[ fair, 6.8458206411748e-06 ]
[ far, 1.982092891672e-07 ]
[ find, 9.154448329e-09 ]
[ first, 2.8085788827912e-06 ]
[ friend, 2.9632318956839e-06 ]
[ from, 1.1343299162148e-05 ]
[ full, 2.72649860267e-08 ]
[ give, 1.360237838501e-07 ]
[ good, 1.47647493056612e-05 ]
[ grace, 4.666811127e-10 ]
[ had, 2.7289778010939e-06 ]
[ hast, 6.44394446212e-08 ]
[ hath, 1.4843508212623e-06 ]
[ heaven, 1.542397934557e-07 ]
[ how, 8.803195876823e-07 ]
[ if, 4.393057200387e-07 ]
[ ill, 5.6112270039e-08 ]
[ know, 2.601157371885e-07 ]
[ let, 1.09059944107e-07 ]
[ lie, 2.850867430287e-07 ]
[ life, 2.8814530419165e-06 ]
[ like, 8.15305462e-10 ]
[ live, 2.672540305506e-07 ]
[ long, 5.193495058133e-07 ]
[ look, 1.0107865402181e-06 ]
[ loves, 4.9243353111641e-06 ]
[ made, 4.2887601139844e-06 ]
[ make, 7.723412053055e-07 ]
[ may, 8.3229551191177e-06 ]
[ men, 2.0625666086094e-05 ]
[ might, 1.09059944107e-07 ]
[ mine, 2.33600092089064e-05 ]
[ more, 2.0486195076275e-06 ]
[ most, 1.260366573572e-06 ]
[ much, 5.0970111266339e-06 ]
[ must, 6.982672104494e-07 ]
[ name, 5.0970111266339e-06 ]
[ nature, 9.080289485967e-07 ]
[ new, 9.38334925761e-08 ]
[ night, 1.0107865402181e-06 ]
[ none, 2.72649860267e-08 ]
[ nor, 9.6545766277465e-06 ]
[ now, 1.00626408435e-08 ]
[ one, 1.5088623659357e-06 ]
[ other, 3.640642780438e-07 ]
[ out, 9.154448329e-09 ]
[ part, 6.701958054574e-07 ]
[ praise, 8.10653229195e-08 ]
[ say, 2.80354980077e-08 ]
[ see, 2.222591204341e-07 ]
[ seem, 5.1493771851e-09 ]
[ shadow, 5.193495058133e-07 ]
[ shall, 7.3556534746152e-06 ]
[ she, 4.6741455523193e-06 ]
[ should, 6.6096779525135e-06 ]
[ show, 1.2072312767522e-06 ]
[ sight, 3.5736441323e-08 ]
[ since, 3.08622416182e-07 ]
[ some, 9.036187107046e-07 ]
[ still, 4.652430911369e-07 ]
[ such, 5.9636723072348e-06 ]
[ sweet, 1.14735801233416e-05 ]
[ take, 2.72649860267e-08 ]
[ tell, 1.094675669146e-06 ]
[ than, 9.723792428602e-07 ]
[ their, 2.975917797359e-07 ]
[ them, 3.6409523744841e-06 ]
[ then, 2.4727604683363e-06 ]
[ there, 5.87034245806e-07 ]
[ these, 1.1920054428568e-06 ]
[ thine, 2.7596833575347e-06 ]
[ things, 6.68135076377e-08 ]
[ think, 4.854457316683e-07 ]
[ those, 4.130488844403e-06 ]
[ though, 8.6830065257073e-06 ]
[ time, 1.26030080934293e-05 ]
[ tis, 7.71556040455e-08 ]
[ too, 2.1469220306045e-06 ]
[ true, 5.7879134290023e-06 ]
[ truth, 1.2072312767522e-06 ]
[ up, 1.205556313211e-07 ]
[ upon, 7.8726811215e-09 ]
[ well, 2.077398023253e-06 ]
[ were, 4.7781454868362e-06 ]
[ what, 8.890364817362e-07 ]
[ when, 2.86492823529918e-05 ]
[ where, 1.9075575848729e-06 ]
[ whilst, 3.40059459625e-08 ]
[ who, 7.8726811215e-09 ]
[ whom, 5.6403295449464e-06 ]
[ whose, 2.9632318956839e-06 ]
[ why, 1.6524194881284e-06 ]
[ world, 1.0594554528855e-06 ]
[ would, 6.982672104494e-07 ]
[ yet, 4.73473228795e-08 ]

Vector Distance: 0.0003808030226
